Sprint,Duration,Sprint Theme,Sprint Goal,Sprint Exit Criteria,Task ID,Workstream,Epic,Task,Deliverable,Acceptance Criteria,Dependencies,Owner Role,Estimate (SP),Priority,Status
Sprint 2,2 weeks,"Monorepo, environments, and MongoDB foundation",Create a reproducible full-stack development foundation with a shared TypeScript contract and MongoDB as the only database.,"A developer can start mobile, API, MongoDB replica set, and tests from documented commands; CI validates lint, types, unit tests, and builds.",S2-03,Data,MongoDB,"Configure MongoDB replica set, Mongoose connection, migrations/index bootstrap, and Docker Compose.",MongoDB environment,Transactions and change streams work in local development and CI.,S2-01,Backend Engineer,5,Critical,Not Started
Sprint 2,2 weeks,"Monorepo, environments, and MongoDB foundation",Create a reproducible full-stack development foundation with a shared TypeScript contract and MongoDB as the only database.,"A developer can start mobile, API, MongoDB replica set, and tests from documented commands; CI validates lint, types, unit tests, and builds.",S2-04,Mobile,Expo foundation,"Create Expo Router app with environment configuration, safe areas, error boundary, and development builds.",Bootable mobile app,App launches on representative Android and iOS simulators.,S2-01,Mobile Engineer,5,Critical,Not Started
Sprint 2,2 weeks,"Monorepo, environments, and MongoDB foundation",Create a reproducible full-stack development foundation with a shared TypeScript contract and MongoDB as the only database.,"A developer can start mobile, API, MongoDB replica set, and tests from documented commands; CI validates lint, types, unit tests, and builds.",S2-05,Shared,Contracts,"Create shared IDs, enums, DTO schemas, money/odds utilities, and API error types.",Shared contract package,Mobile and API compile against one version of domain contracts.,S2-01,Full-stack Engineer,5,Critical,Not Started
Sprint 2,2 weeks,"Monorepo, environments, and MongoDB foundation",Create a reproducible full-stack development foundation with a shared TypeScript contract and MongoDB as the only database.,"A developer can start mobile, API, MongoDB replica set, and tests from documented commands; CI validates lint, types, unit tests, and builds.",S2-06,DevOps,CI,"Add dependency caching, lint, type-check, unit-test, API-build, and Expo validation jobs.",CI pipeline,"Pull requests fail on lint, type, unit, or build errors.",S2-01,DevOps Engineer,5,High,Not Started
Sprint 2,2 weeks,"Monorepo, environments, and MongoDB foundation",Create a reproducible full-stack development foundation with a shared TypeScript contract and MongoDB as the only database.,"A developer can start mobile, API, MongoDB replica set, and tests from documented commands; CI validates lint, types, unit tests, and builds.",S2-07,Observability,Diagnostics,"Add request IDs, structured logs, environment-safe error reporting, and health probes.",Diagnostic baseline,API errors are traceable without logging secrets or tokens.,S2-02,Backend Engineer,3,High,Not Started
Sprint 2,2 weeks,"Monorepo, environments, and MongoDB foundation",Create a reproducible full-stack development foundation with a shared TypeScript contract and MongoDB as the only database.,"A developer can start mobile, API, MongoDB replica set, and tests from documented commands; CI validates lint, types, unit tests, and builds.",S2-08,QA,Test harness,"Configure Jest, Supertest, React Native Testing Library, and Maestro scaffolding.",Test harness,"Sample unit, API, component, and E2E smoke tests pass in CI.","S2-02,S2-04,S2-06",QA Engineer,5,High,Not Started
Sprint 3,2 weeks,"Design system, application shell, and authentication",Deliver the reference-matched mobile shell and complete dummy authentication backed by MongoDB.,"Users can register, log in, refresh sessions, log out, and navigate the same drawer/header/bottom-tab shell on Android and iOS.",S3-01,Mobile,Design tokens,"Implement colors, typography, spacing, elevations, icons, light/dark themes, and accessibility scaling.",UI token package,Tokens match approved designs and render consistently on both platforms.,"S1-04,S2-04",Mobile Engineer,5,Critical,Not Started
Sprint 3,2 weeks,"Design system, application shell, and authentication",Deliver the reference-matched mobile shell and complete dummy authentication backed by MongoDB.,"Users can register, log in, refresh sessions, log out, and navigate the same drawer/header/bottom-tab shell on Android and iOS.",S3-02,Mobile,App shell,"Implement header, balance area, bottom tabs, drawer, badges, and global bet-slip launcher.",Navigation shell,Every planned route is represented and active states match the reference.,"S1-02,S3-01",Mobile Engineer,8,Critical,Not Started
Sprint 3,2 weeks,"Design system, application shell, and authentication",Deliver the reference-matched mobile shell and complete dummy authentication backed by MongoDB.,"Users can register, log in, refresh sessions, log out, and navigate the same drawer/header/bottom-tab shell on Android and iOS.",S3-03,Backend,Authentication,"Implement user registration, login, JWT access/refresh rotation, logout, and password reset simulation.",Auth API,Auth endpoints persist users and hashed passwords; invalid and expired tokens are rejected.,"S2-02,S2-03,S2-05",Backend Engineer,8,Critical,Not Started
Sprint 3,2 weeks,"Design system, application shell, and authentication",Deliver the reference-matched mobile shell and complete dummy authentication backed by MongoDB.,"Users can register, log in, refresh sessions, log out, and navigate the same drawer/header/bottom-tab shell on Android and iOS.",S3-04,Mobile,Authentication,"Build login, registration, forgot password, session restore, and guest mode.",Auth screens,Validated forms consume the API and restore sessions after restart.,S3-03,Mobile Engineer,8,Critical,Not Started
Sprint 3,2 weeks,"Design system, application shell, and authentication",Deliver the reference-matched mobile shell and complete dummy authentication backed by MongoDB.,"Users can register, log in, refresh sessions, log out, and navigate the same drawer/header/bottom-tab shell on Android and iOS.",S3-05,Backend,Profiles,"Implement profile, preferences, device sessions, and demo account reset endpoints.",Profile API,Profile and preferences persist; reset restores deterministic demo state.,S3-03,Backend Engineer,5,High,Not Started
Sprint 3,2 weeks,"Design system, application shell, and authentication",Deliver the reference-matched mobile shell and complete dummy authentication backed by MongoDB.,"Users can register, log in, refresh sessions, log out, and navigate the same drawer/header/bottom-tab shell on Android and iOS.",S3-06,Mobile,Profiles,"Build profile summary, language, theme, odds format, notification settings, and logout.",Profile screens,All settings persist through the backend and apply immediately where relevant.,S3-05,Mobile Engineer,5,High,Not Started
Sprint 3,2 weeks,"Design system, application shell, and authentication",Deliver the reference-matched mobile shell and complete dummy authentication backed by MongoDB.,"Users can register, log in, refresh sessions, log out, and navigate the same drawer/header/bottom-tab shell on Android and iOS.",S3-07,Data,Seed users,"Seed guest fixtures, two demo users, sessions, balances, and preferences.",Auth seed data,Documented demo credentials work after every reseed.,"S3-03,S3-05",Backend Engineer,3,High,Not Started
Sprint 3,2 weeks,"Design system, application shell, and authentication",Deliver the reference-matched mobile shell and complete dummy authentication backed by MongoDB.,"Users can register, log in, refresh sessions, log out, and navigate the same drawer/header/bottom-tab shell on Android and iOS.",S3-08,QA,Authentication tests,"Cover validation, token refresh, logout, session restore, and parity flows.",Auth test suite,Critical auth API and mobile journeys pass on Android and iOS.,"S3-03,S3-04,S3-06",QA Engineer,5,High,Not Started
Sprint 4,2 weeks,"Sports catalogue, discovery, search, and favorites","Expose a complete seeded sports catalogue and let users discover, filter, search, pin, and favorite content.","The app loads sports, counts, leagues, events, recommendations, and favorites from paginated backend APIs with reliable loading and empty states.",S4-01,Data,Sports schemas,"Implement sport, league, competitor, venue, event, recommendation, and availability models with indexes.",Catalogue collections,"Queries are indexed by sport, league, state, and start time.","S1-07,S2-03",Backend Engineer,8,Critical,Not Started
Sprint 4,2 weeks,"Sports catalogue, discovery, search, and favorites","Expose a complete seeded sports catalogue and let users discover, filter, search, pin, and favorite content.","The app loads sports, counts, leagues, events, recommendations, and favorites from paginated backend APIs with reliable loading and empty states.",S4-02,Data,Catalogue seeds,"Seed 15 sports, 50 leagues, competitors, icons, and 200-300 deterministic events.",Sports seed dataset,"Seed covers pre-match, live, completed, postponed, and cancelled states.",S4-01,Backend Engineer,8,Critical,Not Started
Sprint 4,2 weeks,"Sports catalogue, discovery, search, and favorites","Expose a complete seeded sports catalogue and let users discover, filter, search, pin, and favorite content.","The app loads sports, counts, leagues, events, recommendations, and favorites from paginated backend APIs with reliable loading and empty states.",S4-03,Backend,Catalogue API,"Implement sports, league, event listing, time filters, counts, pagination, and sorting.",Catalogue endpoints,"Responses support Live, Today, 1H, 3H, Tomorrow, and All filters.","S4-01,S4-02",Backend Engineer,8,Critical,Not Started
Sprint 4,2 weeks,"Sports catalogue, discovery, search, and favorites","Expose a complete seeded sports catalogue and let users discover, filter, search, pin, and favorite content.","The app loads sports, counts, leagues, events, recommendations, and favorites from paginated backend APIs with reliable loading and empty states.",S4-04,Backend,Search,"Implement indexed search across events, competitors, leagues, sports, and articles.",Search API,"Debounced queries return grouped, ranked results with pagination.",S4-01,Backend Engineer,5,High,Not Started
Sprint 4,2 weeks,"Sports catalogue, discovery, search, and favorites","Expose a complete seeded sports catalogue and let users discover, filter, search, pin, and favorite content.","The app loads sports, counts, leagues, events, recommendations, and favorites from paginated backend APIs with reliable loading and empty states.",S4-05,Backend,Favorites,"Implement favorite events, leagues, sports, and recently viewed resources.",Favorites API,"Favorites are idempotent, user-scoped, and persist across devices.","S3-03,S4-01",Backend Engineer,5,High,Not Started
Sprint 4,2 weeks,"Sports catalogue, discovery, search, and favorites","Expose a complete seeded sports catalogue and let users discover, filter, search, pin, and favorite content.","The app loads sports, counts, leagues, events, recommendations, and favorites from paginated backend APIs with reliable loading and empty states.",S4-06,Mobile,Sports drawer,"Build recommended items, sport counts, pinned sports/leagues, and drawer navigation.",Functional sports drawer,Drawer mirrors the recording and updates counts from the API.,"S3-02,S4-03,S4-05",Mobile Engineer,8,Critical,Not Started
Sprint 4,2 weeks,"Sports catalogue, discovery, search, and favorites","Expose a complete seeded sports catalogue and let users discover, filter, search, pin, and favorite content.","The app loads sports, counts, leagues, events, recommendations, and favorites from paginated backend APIs with reliable loading and empty states.",S4-07,Mobile,Search and favorites,"Build global search, results grouping, recent searches, and favorite interactions.",Discovery flows,Users can locate and favorite an event from any major app section.,"S4-04,S4-05",Mobile Engineer,8,High,Not Started
Sprint 4,2 weeks,"Sports catalogue, discovery, search, and favorites","Expose a complete seeded sports catalogue and let users discover, filter, search, pin, and favorite content.","The app loads sports, counts, leagues, events, recommendations, and favorites from paginated backend APIs with reliable loading and empty states.",S4-08,QA,Catalogue tests,"Test filter boundaries, time zones, pagination, search ranking, and favorite consistency.",Catalogue test suite,Seeded queries return stable results and mobile empty/error states are verified.,"S4-03,S4-07",QA Engineer,5,High,Not Started
Sprint 5,2 weeks,Sports offer home and dense event presentation,Implement the central Today offer screen with the same information hierarchy and density as the reference.,"The offer screen shows time filters, featured picks, Top Offer, sports and leagues, virtualized events, and selectable odds from backend data at target performance.",S5-01,Backend,Offer composition,"Create aggregated offer endpoint for recommendations, featured picks, promotions, and grouped events.",Offer API,One request returns ordered sections with cache metadata and pagination cursors.,S4-03,Backend Engineer,8,Critical,Completed
Sprint 5,2 weeks,Sports offer home and dense event presentation,Implement the central Today offer screen with the same information hierarchy and density as the reference.,"The offer screen shows time filters, featured picks, Top Offer, sports and leagues, virtualized events, and selectable odds from backend data at target performance.",S5-02,Backend,Feature flags,"Add backend flags for BetBuilder, boosted odds, TV, bonus tip, and PSK-style benefits.",Feature metadata,"Flags are returned at event, market, and outcome level.",S4-01,Backend Engineer,5,High,Completed
Sprint 5,2 weeks,Sports offer home and dense event presentation,Implement the central Today offer screen with the same information hierarchy and density as the reference.,"The offer screen shows time filters, featured picks, Top Offer, sports and leagues, virtualized events, and selectable odds from backend data at target performance.",S5-03,Mobile,Time navigation,"Implement Live, Today, 1H, 3H, Tomorrow, and All tabs with restored selection.",Time-filter header,"Tab changes update data, URL-like route state, skeletons, and empty states.","S4-03,S3-01",Mobile Engineer,5,Critical,Completed
Sprint 5,2 weeks,Sports offer home and dense event presentation,Implement the central Today offer screen with the same information hierarchy and density as the reference.,"The offer screen shows time filters, featured picks, Top Offer, sports and leagues, virtualized events, and selectable odds from backend data at target performance.",S5-04,Mobile,Featured sections,"Build recommended carousel, featured pick cards, boosted odds, and BetBuilder badges.",Featured offer UI,Cards match approved layouts and are fully accessible.,"S5-01,S5-02",Mobile Engineer,8,Critical,Completed
Sprint 5,2 weeks,Sports offer home and dense event presentation,Implement the central Today offer screen with the same information hierarchy and density as the reference.,"The offer screen shows time filters, featured picks, Top Offer, sports and leagues, virtualized events, and selectable odds from backend data at target performance.",S5-05,Mobile,League groups,"Build sport headings, collapsible league headers, pins, favorites, and dense event rows.",Offer list UI,Groups preserve expand state and render large lists through FlashList.,"S4-05,S5-01",Mobile Engineer,8,Critical,Completed
Sprint 5,2 weeks,Sports offer home and dense event presentation,Implement the central Today offer screen with the same information hierarchy and density as the reference.,"The offer screen shows time filters, featured picks, Top Offer, sports and leagues, virtualized events, and selectable odds from backend data at target performance.",S5-06,Mobile,Odds controls,"Implement 1/X/2 and variable market buttons with selected, changed, locked, and disabled states.",Odds button system,States are visually distinct and accessible; taps emit selection intents.,"S3-01,S5-02",Mobile Engineer,5,Critical,Completed
Sprint 5,2 weeks,Sports offer home and dense event presentation,Implement the central Today offer screen with the same information hierarchy and density as the reference.,"The offer screen shows time filters, featured picks, Top Offer, sports and leagues, virtualized events, and selectable odds from backend data at target performance.",S5-07,Performance,List performance,"Optimize memoization, images, pagination, cached queries, and list measurement.",Performance baseline,Offer with 100 visible events scrolls smoothly within agreed memory/startup budgets.,"S5-04,S5-05",Mobile Engineer,5,High,Completed
Sprint 5,2 weeks,Sports offer home and dense event presentation,Implement the central Today offer screen with the same information hierarchy and density as the reference.,"The offer screen shows time filters, featured picks, Top Offer, sports and leagues, virtualized events, and selectable odds from backend data at target performance.",S5-08,QA,Offer tests,"Verify ordering, filtering, collapse persistence, rotation, dark mode, and device sizes.",Offer acceptance suite,Approved screenshots and behavior checks pass on Android and iOS.,"S5-03,S5-07",QA Engineer,5,Critical,Completed
Sprint 6,2 weeks,"Event details, markets, statistics, and BetBuilder","Let users inspect a complete event, browse markets, review statistics, and create compatible BetBuilder selections.","Event detail supports all seeded market groups, statistics, favorites, search, suspension states, and valid BetBuilder combinations.",S6-01,Data,Markets,"Implement market, outcome, price-history, result, period, statistic, lineup, and head-to-head models.",Market collections,"Models support football, tennis, basketball, hockey, and generic sports.",S4-01,Backend Engineer,8,Critical,Completed
Sprint 6,2 weeks,"Event details, markets, statistics, and BetBuilder","Let users inspect a complete event, browse markets, review statistics, and create compatible BetBuilder selections.","Event detail supports all seeded market groups, statistics, favorites, search, suspension states, and valid BetBuilder combinations.",S6-02,Data,Market seeds,"Seed 5-20 markets per event including result, totals, handicap, correct score, periods, and specials.",Market seed dataset,Featured events have complete detail while remaining events have realistic core markets.,S6-01,Backend Engineer,8,Critical,Completed
Sprint 6,2 weeks,"Event details, markets, statistics, and BetBuilder","Let users inspect a complete event, browse markets, review statistics, and create compatible BetBuilder selections.","Event detail supports all seeded market groups, statistics, favorites, search, suspension states, and valid BetBuilder combinations.",S6-03,Backend,Event detail API,"Expose grouped markets, statistics, form, head-to-head, lineups, and related events.",Event detail endpoints,"Payload is versioned, cacheable, and excludes unavailable markets.","S6-01,S6-02",Backend Engineer,8,Critical,Completed
Sprint 6,2 weeks,"Event details, markets, statistics, and BetBuilder","Let users inspect a complete event, browse markets, review statistics, and create compatible BetBuilder selections.","Event detail supports all seeded market groups, statistics, favorites, search, suspension states, and valid BetBuilder combinations.",S6-04,Backend,BetBuilder rules,Implement compatibility rules and combined-odds calculation for same-event selections.,BetBuilder API,Invalid combinations return machine-readable reasons.,S6-01,Backend Engineer,8,Critical,Completed
Sprint 6,2 weeks,"Event details, markets, statistics, and BetBuilder","Let users inspect a complete event, browse markets, review statistics, and create compatible BetBuilder selections.","Event detail supports all seeded market groups, statistics, favorites, search, suspension states, and valid BetBuilder combinations.",S6-05,Mobile,Event header,"Build event summary, scoreboard, clock, favorite, stats, streaming, and status states.",Event header UI,"Pre-match, live, postponed, completed, and cancelled states render correctly.",S6-03,Mobile Engineer,5,Critical,Completed
Sprint 6,2 weeks,"Event details, markets, statistics, and BetBuilder","Let users inspect a complete event, browse markets, review statistics, and create compatible BetBuilder selections.","Event detail supports all seeded market groups, statistics, favorites, search, suspension states, and valid BetBuilder combinations.",S6-06,Mobile,Market browser,"Build category tabs, market search, accordions, outcome grids, and lazy section loading.",Market UI,All supported market layouts remain usable on small screens.,"S6-03,S5-06",Mobile Engineer,8,Critical,Completed
Sprint 6,2 weeks,"Event details, markets, statistics, and BetBuilder","Let users inspect a complete event, browse markets, review statistics, and create compatible BetBuilder selections.","Event detail supports all seeded market groups, statistics, favorites, search, suspension states, and valid BetBuilder combinations.",S6-07,Mobile,BetBuilder,"Build selection compatibility feedback, combined odds, reset, and add-to-slip flow.",BetBuilder UI,Only backend-approved combinations can be added.,"S6-04,S6-06",Mobile Engineer,8,High,Completed
Sprint 6,2 weeks,"Event details, markets, statistics, and BetBuilder","Let users inspect a complete event, browse markets, review statistics, and create compatible BetBuilder selections.","Event detail supports all seeded market groups, statistics, favorites, search, suspension states, and valid BetBuilder combinations.",S6-08,QA,Event tests,"Test sport layouts, market ordering, invalid combinations, suspensions, and accessibility.",Event acceptance suite,Market and BetBuilder journeys pass with seeded data on both platforms.,"S6-05,S6-07",QA Engineer,5,High,Completed
Sprint 7,2 weeks,Bet slip selection engine and calculations,"Build a persistent, server-validated bet slip supporting singles, accumulators, systems, and four saved tabs.","Selections can be added from any screen, conflicts are resolved, calculations match shared rules, and slips survive restart and account changes.",S7-01,Shared,Bet calculations,"Implement decimal odds, accumulator product, system combinations, bonuses, fees, tax, and payout rounding.",Calculation library,"Golden test vectors cover boundaries, void legs, boosts, and rounding.","S2-05,S6-04",Full-stack Engineer,8,Critical,Completed
Sprint 7,2 weeks,Bet slip selection engine and calculations,"Build a persistent, server-validated bet slip supporting singles, accumulators, systems, and four saved tabs.","Selections can be added from any screen, conflicts are resolved, calculations match shared rules, and slips survive restart and account changes.",S7-02,Backend,Bet slip API,"Create, read, update, clear, and validate user/guest slips and four numbered tabs.",Bet slip endpoints,"Server returns authoritative totals, warnings, and validation errors.","S7-01,S3-03,S6-03",Backend Engineer,8,Critical,Completed
Sprint 7,2 weeks,Bet slip selection engine and calculations,"Build a persistent, server-validated bet slip supporting singles, accumulators, systems, and four saved tabs.","Selections can be added from any screen, conflicts are resolved, calculations match shared rules, and slips survive restart and account changes.",S7-03,Backend,Selection rules,"Implement same-market replacement, duplicate prevention, incompatibility, suspension, and price-change detection.",Selection validator,Concurrent updates are version-checked and deterministic.,S7-02,Backend Engineer,8,Critical,Completed
Sprint 7,2 weeks,Bet slip selection engine and calculations,"Build a persistent, server-validated bet slip supporting singles, accumulators, systems, and four saved tabs.","Selections can be added from any screen, conflicts are resolved, calculations match shared rules, and slips survive restart and account changes.",S7-04,Mobile,Global slip state,Connect all odds buttons to optimistic add/remove actions and server reconciliation.,Global selection behavior,Selected states and slip counts remain synchronized across screens.,"S5-06,S7-02",Mobile Engineer,8,Critical,Completed
Sprint 7,2 weeks,Bet slip selection engine and calculations,"Build a persistent, server-validated bet slip supporting singles, accumulators, systems, and four saved tabs.","Selections can be added from any screen, conflicts are resolved, calculations match shared rules, and slips survive restart and account changes.",S7-05,Mobile,Slip bottom sheet,"Build empty, compact, expanded, keyboard, and full-screen slip states.",Bet slip container,"Sheet works with gestures, safe areas, and keyboard on Android and iOS.","S3-02,S7-04",Mobile Engineer,8,Critical,Completed
Sprint 7,2 weeks,Bet slip selection engine and calculations,"Build a persistent, server-validated bet slip supporting singles, accumulators, systems, and four saved tabs.","Selections can be added from any screen, conflicts are resolved, calculations match shared rules, and slips survive restart and account changes.",S7-06,Mobile,Slip types,"Build Single, Accumulator, System, and saved-slip tab controls.",Slip modes,Totals and input fields update correctly when mode or active tab changes.,"S7-01,S7-05",Mobile Engineer,8,Critical,Completed
Sprint 7,2 weeks,Bet slip selection engine and calculations,"Build a persistent, server-validated bet slip supporting singles, accumulators, systems, and four saved tabs.","Selections can be added from any screen, conflicts are resolved, calculations match shared rules, and slips survive restart and account changes.",S7-07,Mobile,Warnings,"Implement odds-changed acceptance, suspended selections, invalid combinations, limits, and clear confirmation.",Slip validation UI,Every backend warning has a recoverable UI state.,"S7-03,S7-05",Mobile Engineer,5,High,Completed
Sprint 7,2 weeks,Bet slip selection engine and calculations,"Build a persistent, server-validated bet slip supporting singles, accumulators, systems, and four saved tabs.","Selections can be added from any screen, conflicts are resolved, calculations match shared rules, and slips survive restart and account changes.",S7-08,QA,Calculation tests,Cross-check mobile/shared/backend calculations and persistence under concurrent price changes.,Bet slip test suite,"No calculation differences exist across shared library, API, and rendered totals.","S7-01,S7-07",QA Engineer,8,Critical,Completed
Sprint 8,2 weeks,"Demo wallet, ticket placement, and receipts",Place dummy bets through transaction-safe backend operations and record every balance movement in an auditable ledger.,"A confirmed bet atomically creates a ticket, debits demo funds, records ledger entries, returns a receipt, and prevents duplicate submission.",S8-01,Data,Wallet model,"Implement wallets, balances, ledger entries, idempotency keys, and transaction indexes.",Wallet collections,Monetary values use integer minor units and ledger records are immutable.,"S1-07,S2-03",Backend Engineer,8,Critical,Not Started
Sprint 8,2 weeks,"Demo wallet, ticket placement, and receipts",Place dummy bets through transaction-safe backend operations and record every balance movement in an auditable ledger.,"A confirmed bet atomically creates a ticket, debits demo funds, records ledger entries, returns a receipt, and prevents duplicate submission.",S8-02,Backend,Wallet API,"Expose balances, transaction history, demo deposit, demo withdrawal, and bonus balance.",Wallet endpoints,All mutations require authentication and create balanced ledger entries.,"S8-01,S3-03",Backend Engineer,8,Critical,Not Started
Sprint 8,2 weeks,"Demo wallet, ticket placement, and receipts",Place dummy bets through transaction-safe backend operations and record every balance movement in an auditable ledger.,"A confirmed bet atomically creates a ticket, debits demo funds, records ledger entries, returns a receipt, and prevents duplicate submission.",S8-03,Backend,Ticket placement,Revalidate prices/markets and atomically debit wallet and create ticket using MongoDB transactions.,Place-bet API,Retries are idempotent and stale or suspended selections cannot be placed.,"S7-02,S8-01",Backend Engineer,13,Critical,Not Started
Sprint 8,2 weeks,"Demo wallet, ticket placement, and receipts",Place dummy bets through transaction-safe backend operations and record every balance movement in an auditable ledger.,"A confirmed bet atomically creates a ticket, debits demo funds, records ledger entries, returns a receipt, and prevents duplicate submission.",S8-04,Backend,Ticket identifiers,"Generate searchable ticket codes, placement snapshots, calculation breakdowns, and audit records.",Ticket record,"Ticket preserves the exact accepted odds, fees, tax, bonuses, and potential payout.",S8-03,Backend Engineer,5,Critical,Not Started
Sprint 8,2 weeks,"Demo wallet, ticket placement, and receipts",Place dummy bets through transaction-safe backend operations and record every balance movement in an auditable ledger.,"A confirmed bet atomically creates a ticket, debits demo funds, records ledger entries, returns a receipt, and prevents duplicate submission.",S8-05,Mobile,Stake and review,"Build stake inputs, quick amounts, balance validation, price review, and confirmation step.",Bet review flow,User cannot confirm until all backend validation issues are resolved.,"S7-05,S8-02,S8-03",Mobile Engineer,8,Critical,Not Started
Sprint 8,2 weeks,"Demo wallet, ticket placement, and receipts",Place dummy bets through transaction-safe backend operations and record every balance movement in an auditable ledger.,"A confirmed bet atomically creates a ticket, debits demo funds, records ledger entries, returns a receipt, and prevents duplicate submission.",S8-06,Mobile,Receipt,"Build success receipt, ticket number, breakdown, copy/share, and route to My Bets.",Ticket receipt screen,Receipt matches backend snapshot and survives navigation/restart.,S8-04,Mobile Engineer,5,High,Not Started
